team,map,win_rate,maps_played,pick_rate,ban_rate,pistol_win_rate,first_kill_round_win_rate,first_death_round_win_rate,source
BC.Game,Ancient,39.53,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BC.Game,Anubis,38.87,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BC.Game,Inferno,39.06,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BC.Game,Mirage,39.46,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BC.Game,Nuke,38.52,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BC.Game,Overpass,48.84,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BESTIA,Ancient,28.92,5,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BESTIA,Dust2,37.39,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BESTIA,Mirage,44.99,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BET-M,Ancient,33.36,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BET-M,Dust2,34.77,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BET-M,Mirage,67.99,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BET-M,Nuke,49.44,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BIG,Ancient,68.43,13,27.27,2.67,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BIG,Anubis,60.57,5,0.00,17.33,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BIG,Dust2,55.87,8,6.06,22.67,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BIG,Inferno,69.37,4,12.12,13.33,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BIG,Mirage,65.03,11,6.06,16.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BIG,Nuke,49.57,4,3.03,26.67,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BIG,Overpass,71.71,18,45.45,1.33,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BetBoom,Ancient,52.17,14,14.71,10.84,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BetBoom,Anubis,60.57,11,11.76,8.43,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BetBoom,Dust2,64.32,10,14.71,13.25,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BetBoom,Mirage,56.27,17,23.53,9.64,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BetBoom,Nuke,62.01,14,29.41,6.02,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BetBoom,Overpass,47.84,13,5.88,12.05,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Betclic,Ancient,35.68,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Betclic,Anubis,35.44,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Betclic,Nuke,37.39,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Betclic,Overpass,37.25,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Bounty Hunters,Ancient,38.53,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Bounty Hunters,Anubis,40.51,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Bounty Hunters,Dust2,36.96,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Bounty Hunters,Mirage,37.42,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Bounty Hunters,Nuke,35.73,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
CYBERSHOKE,Anubis,37.38,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
CYBERSHOKE,Dust2,37.78,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
CYBERSHOKE,Nuke,37.57,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
CYBERSHOKE,Overpass,38.27,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
