team,map,win_rate,maps_played,pick_rate,ban_rate,pistol_win_rate,first_kill_round_win_rate,first_death_round_win_rate,source
BC.Game,Ancient,11.26,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BC.Game,Anubis,10.46,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BC.Game,Inferno,10.46,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BC.Game,Mirage,11.26,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BC.Game,Nuke,8.06,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BC.Game,Overpass,46.80,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BESTIA,Ancient,5.00,5,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BESTIA,Dust2,5.00,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BESTIA,Mirage,35.33,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BET-M,Ancient,5.00,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BET-M,Dust2,6.80,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BET-M,Mirage,95.00,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BET-M,Nuke,48.00,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BIG,Ancient,68.46,13,27.27,2.67,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BIG,Anubis,78.77,5,0.00,17.33,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BIG,Dust2,62.38,8,6.06,22.67,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BIG,Inferno,95.00,4,12.12,13.33,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BIG,Mirage,71.68,11,6.06,16.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BIG,Nuke,49.10,4,3.03,26.67,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BIG,Overpass,67.04,18,45.45,1.33,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BetBoom,Ancient,50.74,14,14.71,10.84,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BetBoom,Anubis,63.50,11,11.76,8.43,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BetBoom,Dust2,70.23,10,14.71,13.25,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BetBoom,Mirage,52.67,17,23.53,9.64,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BetBoom,Nuke,62.83,14,29.41,6.02,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BetBoom,Overpass,45.53,13,5.88,12.05,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Betclic,Ancient,6.85,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Betclic,Anubis,6.45,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Betclic,Nuke,6.46,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Betclic,Overpass,5.00,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Bounty Hunters,Ancient,8.86,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Bounty Hunters,Anubis,11.59,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Bounty Hunters,Dust2,5.00,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Bounty Hunters,Mirage,5.00,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Bounty Hunters,Nuke,6.05,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
CYBERSHOKE,Anubis,5.00,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
CYBERSHOKE,Dust2,7.70,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
CYBERSHOKE,Nuke,5.00,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
CYBERSHOKE,Overpass,8.06,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Chinggis Warriors,Ancient,64.40,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Chinggis Warriors,Dust2,48.80,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Chinggis Warriors,Inferno,5.00,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Chinggis Warriors,Mirage,8.06,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Chinggis Warriors,Nuke,48.20,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
ECSTATIC,Ancient,8.09,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
ECSTATIC,Inferno,6.53,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
ECSTATIC,Mirage,36.12,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
ECSTATIC,Nuke,5.66,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
ECSTATIC,Overpass,89.54,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
EYEBALLERS,Anubis,9.66,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
EYEBALLERS,Dust2,7.26,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
EYEBALLERS,Inferno,9.66,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
EYEBALLERS,Mirage,50.40,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
EYEBALLERS,Nuke,88.14,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Eternal Fire,Anubis,5.00,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Eternal Fire,Dust2,5.66,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Eternal Fire,Mirage,11.86,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Eternal Fire,Overpass,11.26,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FOKUS,Ancient,50.00,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FOKUS,Mirage,6.46,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FOKUS,Nuke,93.55,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FOKUS,Overpass,88.74,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FURIA,Dust2,38.53,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FURIA,Inferno,95.00,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FURIA,Mirage,50.67,6,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FURIA,Nuke,50.80,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FURIA,Overpass,63.87,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FUT,Ancient,70.39,7,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FUT,Anubis,52.80,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FUT,Dust2,91.14,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FUT,Mirage,95.00,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FUT,Nuke,95.00,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FUT,Overpass,64.37,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
