dataset,match_id,slug,source_url,start_date,end_date,status,bo_type,tier,tier_rank,team1_id,team1,team1_rank_bo3,team1_vrs_rank,team1_vrs_points,team2_id,team2,team2_rank_bo3,team2_vrs_rank,team2_vrs_points,winner_team_id,winner,team1_score,team2_score,tournament_id,tournament,tournament_slug,veto_sequence,veto_source_note
blast_austin_major_2025,88542,lynn-vision-vs-wildcard-gaming-03-06-2025,https://bo3.gg/matches/lynn-vision-vs-wildcard-gaming-03-06-2025,2025-06-03T21:25:00.000+00:00,2025-06-03T22:44:23.635+00:00,finished,1,s,1,476,Lynn Vision,49,,,6062,Wildcard,32,,,6062,Wildcard,0,1,3567,BLAST.tv Austin Major 2025 Stage 1,blast-tv-austin-major-2025-stage-1,Wildcard remove Dust2 | Wildcard remove Train | Lynn Vision remove Mirage | Lynn Vision remove Inferno | Lynn Vision remove Ancient | Wildcard remove Anubis | Nuke left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88539,betboom-team-vs-flyquest-03-06-2025,https://bo3.gg/matches/betboom-team-vs-flyquest-03-06-2025,2025-06-03T21:41:35.000+00:00,2025-06-03T22:27:38.073+00:00,finished,1,s,1,7498,BetBoom,21,,,10398,FlyQuest,74,,,10398,FlyQuest,0,1,3567,BLAST.tv Austin Major 2025 Stage 1,blast-tv-austin-major-2025-stage-1,FlyQuest remove Train | FlyQuest remove Anubis | BetBoom remove Inferno | BetBoom remove Dust2 | BetBoom remove Ancient | FlyQuest remove Nuke | Mirage left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88540,complexity-vs-fluxo-03-06-2025,https://bo3.gg/matches/complexity-vs-fluxo-03-06-2025,2025-06-03T22:35:00.000+00:00,2025-06-03T23:30:47.943+00:00,finished,1,s,1,703,Complexity,None,,,3661,Fluxo,68,,,703,Complexity,1,0,3567,BLAST.tv Austin Major 2025 Stage 1,blast-tv-austin-major-2025-stage-1,Fluxo remove Anubis | Fluxo remove Train | Complexity remove Dust2 | Complexity remove Mirage | Complexity remove Nuke | Fluxo remove Ancient | Inferno left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88544,chinggis-warriors-vs-legacy-br-03-06-2025,https://bo3.gg/matches/chinggis-warriors-vs-legacy-br-03-06-2025,2025-06-03T22:54:36.000+00:00,2025-06-04T00:00:21.432+00:00,finished,1,s,1,9974,Chinggis Warriors,92,,,8118,Legacy,14,,,8118,Legacy,0,1,3567,BLAST.tv Austin Major 2025 Stage 1,blast-tv-austin-major-2025-stage-1,Chinggis Warriors remove Inferno | Chinggis Warriors remove Dust2 | Legacy remove Train | Legacy remove Ancient | Legacy remove Anubis | Chinggis Warriors remove Mirage | Nuke left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88543,imperial-vs-nemiga-03-06-2025,https://bo3.gg/matches/imperial-vs-nemiga-03-06-2025,2025-06-03T23:40:00.000+00:00,2025-06-04T00:30:12.000+00:00,finished,1,s,1,1430,Imperial,54,,,655,Nemiga,35,,,655,Nemiga,0,1,3567,BLAST.tv Austin Major 2025 Stage 1,blast-tv-austin-major-2025-stage-1,Nemiga remove Nuke | Nemiga remove Mirage | Imperial remove Ancient | Imperial remove Dust2 | Imperial remove Inferno | Nemiga remove Anubis | Train left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88541,tyloo-cs-go-vs-metizport-04-06-2025,https://bo3.gg/matches/tyloo-cs-go-vs-metizport-04-06-2025,2025-06-04T00:15:00.000+00:00,2025-06-04T00:50:36.000+00:00,finished,1,s,1,757,TYLOO,34,,,1578,Metizport,91,,,757,TYLOO,1,0,3567,BLAST.tv Austin Major 2025 Stage 1,blast-tv-austin-major-2025-stage-1,Metizport remove Train | Metizport remove Inferno | TYLOO remove Dust2 | TYLOO remove Nuke | TYLOO remove Ancient | Metizport remove Anubis | Mirage left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88545,betboom-team-vs-legacy-br-04-06-2025,https://bo3.gg/matches/betboom-team-vs-legacy-br-04-06-2025,2025-06-04T15:00:00.000+00:00,2025-06-04T15:43:14.987+00:00,finished,1,s,1,7498,BetBoom,21,,,8118,Legacy,14,,,7498,BetBoom,1,0,3567,BLAST.tv Austin Major 2025 Stage 1,blast-tv-austin-major-2025-stage-1,Legacy remove Train | Legacy remove Nuke | BetBoom remove Inferno | BetBoom remove Dust2 | BetBoom remove Ancient | Legacy remove Mirage | Anubis left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88546,nrg-vs-complexity-04-06-2025,https://bo3.gg/matches/nrg-vs-complexity-04-06-2025,2025-06-04T15:00:00.000+00:00,2025-06-04T15:53:32.277+00:00,finished,1,s,1,751,NRG,31,,,703,Complexity,None,,,751,NRG,1,0,3567,BLAST.tv Austin Major 2025 Stage 1,blast-tv-austin-major-2025-stage-1,Complexity remove Mirage | Complexity remove Dust2 | NRG remove Ancient | NRG remove Anubis | NRG remove Nuke | Complexity remove Train | Inferno left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88548,og-vs-tyloo-cs-go-04-06-2025,https://bo3.gg/matches/og-vs-tyloo-cs-go-04-06-2025,2025-06-04T15:55:00.000+00:00,2025-06-04T16:36:26.000+00:00,finished,1,s,1,395,OG,73,,,757,TYLOO,34,,,395,OG,1,0,3567,BLAST.tv Austin Major 2025 Stage 1,blast-tv-austin-major-2025-stage-1,TYLOO remove Dust2 | TYLOO remove Nuke | OG remove Train | OG remove Mirage | OG remove Inferno | TYLOO remove Anubis | Ancient left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88547,lynn-vision-vs-nemiga-04-06-2025,https://bo3.gg/matches/lynn-vision-vs-nemiga-04-06-2025,2025-06-04T16:00:00.000+00:00,2025-06-04T16:52:49.000+00:00,finished,1,s,1,476,Lynn Vision,49,,,655,Nemiga,35,,,655,Nemiga,0,1,3567,BLAST.tv Austin Major 2025 Stage 1,blast-tv-austin-major-2025-stage-1,Nemiga remove Nuke | Nemiga remove Anubis | Lynn Vision remove Mirage | Lynn Vision remove Train | Lynn Vision remove Ancient | Nemiga remove Inferno | Dust2 left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
