team,map,win_rate,maps_played,pick_rate,ban_rate,pistol_win_rate,first_kill_round_win_rate,first_death_round_win_rate,source
BC.Game,Ancient,39.31,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BC.Game,Anubis,38.35,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BC.Game,Inferno,38.22,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BC.Game,Mirage,40.79,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BC.Game,Nuke,36.73,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BC.Game,Overpass,48.59,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BESTIA,Ancient,26.56,5,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BESTIA,Dust2,35.05,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BESTIA,Mirage,45.34,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BET-M,Ancient,31.71,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BET-M,Dust2,34.35,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BET-M,Mirage,71.83,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BET-M,Nuke,49.28,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BIG,Ancient,65.55,13,27.27,2.67,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BIG,Anubis,61.36,5,0.00,17.33,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BIG,Dust2,55.45,8,6.06,22.67,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BIG,Inferno,72.07,4,12.12,13.33,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BIG,Mirage,61.63,11,6.06,16.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BIG,Nuke,48.58,4,3.03,26.67,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BIG,Overpass,67.88,18,45.45,1.33,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BetBoom,Ancient,52.08,14,14.71,10.84,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BetBoom,Anubis,61.24,11,11.76,8.43,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BetBoom,Dust2,65.42,10,14.71,13.25,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BetBoom,Mirage,55.22,17,23.53,9.64,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BetBoom,Nuke,60.71,14,29.41,6.02,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
BetBoom,Overpass,44.32,13,5.88,12.05,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Betclic,Ancient,34.52,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Betclic,Anubis,34.21,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Betclic,Nuke,35.79,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Betclic,Overpass,34.79,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Bounty Hunters,Ancient,39.37,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Bounty Hunters,Anubis,41.94,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Bounty Hunters,Dust2,35.43,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Bounty Hunters,Mirage,36.45,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Bounty Hunters,Nuke,35.83,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
CYBERSHOKE,Anubis,34.88,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
CYBERSHOKE,Dust2,37.03,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
CYBERSHOKE,Nuke,35.00,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
CYBERSHOKE,Overpass,37.05,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Chinggis Warriors,Ancient,58.73,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Chinggis Warriors,Dust2,51.29,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Chinggis Warriors,Inferno,30.52,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Chinggis Warriors,Mirage,38.24,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Chinggis Warriors,Nuke,51.45,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
ECSTATIC,Ancient,35.04,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
ECSTATIC,Inferno,32.88,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
ECSTATIC,Mirage,45.01,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
ECSTATIC,Nuke,34.89,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
ECSTATIC,Overpass,62.69,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
EYEBALLERS,Anubis,37.46,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
EYEBALLERS,Dust2,36.56,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
EYEBALLERS,Inferno,38.14,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
EYEBALLERS,Mirage,51.06,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
EYEBALLERS,Nuke,62.64,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Eternal Fire,Anubis,35.93,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Eternal Fire,Dust2,37.27,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Eternal Fire,Mirage,41.16,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Eternal Fire,Overpass,40.87,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FOKUS,Ancient,50.18,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FOKUS,Mirage,35.63,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FOKUS,Nuke,67.39,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FOKUS,Overpass,61.72,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FURIA,Dust2,47.15,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FURIA,Inferno,71.98,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FURIA,Mirage,50.08,6,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FURIA,Nuke,51.14,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FURIA,Overpass,54.02,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FUT,Ancient,63.58,7,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FUT,Anubis,52.90,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
